product_id,id_web,sku,post_title,price,total_sales,chiffre_affaires,z_score,categorie
4729,38,38,Emile Boeckel Crémant Brut Blanc de Blancs,8.6,38,326.8,-0.8597423747508954,ordinaire
4242,15310,15310,Parcé Frères Côtes du Roussillon Villages Zoé Rouge 2018,8.6,14,120.4,-0.8597423747508954,ordinaire
6042,16159,16159,Domaine La Croix Belle Côtes de Thongue Rosé Les Grillons 2019,8.5,18,153.0,-0.86334065640633,ordinaire
4861,15307,15307,Philippe Nusswitz Duché d'Uzès Orénia Rouge 2017,8.5,29,246.5,-0.86334065640633,ordinaire
6930,16135,16135,Mouthes Le Bihan Côtes de Duras L'Aimé Chai 2015,8.4,5,42.0,-0.8669389380617644,ordinaire
4863,16255,16255,Château Ollieux Romanis Corbières Rosé Classique 2019,8.2,4,32.8,-0.8741355013726331,ordinaire
4304,15120,15120,Domaine de l'Idylle Savoie Cruet 2018,8.1,0,0.0,-0.8777337830280674,ordinaire
4926,15456,15456,Domaine La Croix Belle Côtes de Thongue Blanc Champ des Lys 2018,7.9,0,0.0,-0.8849303463389363,ordinaire
4928,15047,15047,Domaine La Croix Belle Côtes de Thongue Rouge Le Champ du Coq 2016,7.9,5,39.5,-0.8849303463389363,ordinaire
4171,14332,14332,Le Hameau Des Ollieux Monsieur Pinot 2017,7.8,1,7.8,-0.8885286279943706,ordinaire
4779,14300,14300,Clos du Mont-Olivet Vin de France La Sabonite,7.8,18,140.4,-0.8885286279943706,ordinaire
4051,16045,16045,Jeanne Gaillard IGP Collines Rhodaniennes Syrah Terre de Mandrin 2018,7.7,6,46.2,-0.892126909649805,ordinaire
4208,16024,16024,Domaine Montrose Côtes de Thongue Rosé 2019,7.6,16,121.6,-0.8957251913052393,ordinaire
4164,13453,13453,Parés Baltà Penedès Mas Petit 2015,7.6,20,152.0,-0.8957251913052393,ordinaire
5056,13531,13531,Domaine de Montgilet Anjou Rouge 2016,7.5,1,7.5,-0.8993234729606737,ordinaire
4739,14366,14366,Jean-Paul Brun Beaujolais Le Ronsay 2016,7.4,0,0.0,-0.9029217546161081,ordinaire
4755,16132,16132,Domaine de Montgilet Vin de France Grolleau 2019,7.4,0,0.0,-0.9029217546161081,ordinaire
5448,14469,14469,Parcé Frères Côtes du Roussillon Villages Hommage à Fernand 2017,7.2,0,0.0,-0.910118317926977,ordinaire
5722,15026,15026,Domaine de l'Hortus Pays de l'Hérault Le Loup Dans La Bergerie 2018,7.1,19,134.9,-0.9137165995824112,ordinaire
4681,15933,15933,Domaine de Joy Côtes de Gascogne Blanc Moelleux Saint-André 2018,7.1,12,85.2,-0.9137165995824112,ordinaire
4965,16586,16586,Château Turcaud Entre-Deux-Mers 2019,7.1,26,184.6,-0.9137165995824112,ordinaire
4923,15928,15928,Cave de Castelmaure Corbières Rouge Vigneron 2018,7.0,10,70.0,-0.9173148812378457,ordinaire
4963,15958,15958,Château Turcaud Bordeaux Rouge 2016,7.0,2,14.0,-0.9173148812378457,ordinaire
4776,14302,14302,Château de La Liquière Pays d'Hérault Blanc A Mi Chemin 2017,6.8,7,47.6,-0.9245114445487144,ordinaire
4105,16504,16504,Emile Boeckel Sylvaner Vieilles Vignes 2019,6.8,5,34.0,-0.9245114445487144,ordinaire
4207,16023,16023,Domaine Montrose Côtes de Thongue Rouge 2018,6.7,5,33.5,-0.9281097262041488,ordinaire
4858,16342,16342,Château Turcaud Bordeaux Rosé 2019,6.5,1,6.5,-0.9353062895150176,ordinaire
5695,16304,16304,Philippe Nusswitz IGP Cévènnes Rosé O Pale 2019,6.5,14,91.0,-0.9353062895150176,ordinaire
4927,15425,15425,Domaine La Croix Belle Côtes de Thongue Rouge La Caringole 2018,6.5,4,26.0,-0.9353062895150176,ordinaire
4680,15934,15934,Domaine de Joy Côtes de Gascogne Envie de Joy 2018,6.3,2,12.6,-0.9425028528258863,ordinaire
5779,16213,16213,Maurel Pays d'Oc Syrah 2019,5.8,8,46.4,-0.9604942611030582,ordinaire
4198,16322,16322,Moulin de Gassac IGP Pays d'Hérault Guilhem Rouge 2019,5.8,0,0.0,-0.9604942611030582,ordinaire
4200,16295,16295,Moulin de Gassac IGP Pays d'Hérault Guilhem Rosé 2019,5.8,46,266.8,-0.9604942611030582,ordinaire
5778,15561,15561,Maurel Pays d'Oc Merlot 2018,5.8,24,139.2,-0.9604942611030582,ordinaire
5777,14338,14338,Maurel Pays d'Oc Cabernet-Sauvignon 2017,5.7,0,0.0,-0.9640925427584927,ordinaire
4174,16209,16209,Maurel Cabardès Tradition 2017,5.7,6,34.2,-0.9640925427584927,ordinaire
4173,16211,16211,Maurel Pays d'Oc Chenin-Colombard 2019,5.7,13,74.1,-0.9640925427584927,ordinaire
4172,16210,16210,Maurel Pays d'Oc Chardonnay 2019,5.7,43,245.1,-0.9640925427584927,ordinaire
6129,14570,14570,Moulin de Gassac IGP Pays d'Hérault Guilhem Blanc 2017,5.2,0,0.0,-0.9820839510356646,ordinaire
